instrument_id,name,manufacturer,model,serial_number,department,location,status,last_calibration,next_calibration,supported_tests,daily_capacity
INS-001,BC-6800Plus-01,迈瑞,BC-6800Plus,SN461959,检验科,检验科A区,online,2024-01-15,2024-04-04,"WBC,RBC,HGB,PLT",175
INS-002,BC-6800-02,迈瑞,BC-6800,SN428724,检验科,检验科B区,maintenance,2024-01-30,2024-03-30,"WBC,RBC,HGB,PLT",302
INS-003,XN-9000-03,希森美康,XN-9000,SN811884,检验科,检验科C区,online,2024-06-30,2024-09-16,"WBC,RBC,HGB,PLT",271
INS-004,XN-3000-04,希森美康,XN-3000,SN488202,检验科,检验科B区,maintenance,2024-05-06,2024-07-02,"WBC,RBC,HGB,PLT",590
INS-005,AU5800-05,贝克曼,AU5800,SN658310,检验科,检验科C区,online,2024-06-27,2024-08-19,"WBC,RBC,HGB,PLT",228
INS-006,AU5812-06,贝克曼,AU5812,SN502536,检验科,检验科C区,online,2024-10-08,2024-11-18,"WBC,RBC,HGB,PLT",681
INS-007,Cobas8000-07,罗氏,Cobas8000,SN919113,检验科,门诊检验,online,2024-02-11,2024-03-29,"WBC,RBC,HGB,PLT",735
INS-008,Cobas6000-08,罗氏,Cobas6000,SN631838,检验科,门诊检验,online,2024-07-23,2024-08-29,"WBC,RBC,HGB,PLT",515
INS-009,Vitros5600-09,强生,Vitros5600,SN927580,检验科,门诊检验,online,2024-06-14,2024-08-24,"WBC,RBC,HGB,PLT",850
INS-010,ADVIA2400-10,西门子,ADVIA2400,SN961257,检验科,门诊检验,maintenance,2024-08-13,2024-09-26,"WBC,RBC,HGB,PLT",681
INS-011,BC-6800Plus-11,迈瑞,BC-6800Plus,SN115949,检验科,检验科A区,maintenance,2024-05-03,2024-07-13,"WBC,RBC,HGB,PLT",221
INS-012,BC-6800-12,迈瑞,BC-6800,SN736648,检验科,检验科B区,online,2024-04-01,2024-05-31,"WBC,RBC,HGB,PLT",487
INS-013,XN-9000-13,希森美康,XN-9000,SN640328,检验科,检验科A区,online,2024-03-07,2024-06-03,"WBC,RBC,HGB,PLT",428
INS-014,XN-3000-14,希森美康,XN-3000,SN226158,检验科,急诊检验,online,2024-01-11,2024-03-09,"WBC,RBC,HGB,PLT",943
INS-015,AU5800-15,贝克曼,AU5800,SN251978,检验科,检验科A区,offline,2024-03-05,2024-04-17,"WBC,RBC,HGB,PLT",214
INS-016,AU5812-16,贝克曼,AU5812,SN497252,检验科,急诊检验,maintenance,2024-02-13,2024-03-31,"WBC,RBC,HGB,PLT",314
INS-017,Cobas8000-17,罗氏,Cobas8000,SN429877,检验科,急诊检验,online,2024-01-17,2024-02-21,"WBC,RBC,HGB,PLT",463
INS-018,Cobas6000-18,罗氏,Cobas6000,SN138268,检验科,检验科A区,online,2024-08-17,2024-11-02,"WBC,RBC,HGB,PLT",943
INS-019,Vitros5600-19,强生,Vitros5600,SN903547,检验科,急诊检验,online,2024-01-12,2024-02-20,"WBC,RBC,HGB,PLT",500
INS-020,ADVIA2400-20,西门子,ADVIA2400,SN750368,检验科,门诊检验,online,2024-08-19,2024-10-29,"WBC,RBC,HGB,PLT",623
INS-021,BC-6800Plus-21,迈瑞,BC-6800Plus,SN905351,检验科,检验科C区,online,2024-03-06,2024-04-22,"ALT,AST,TBIL,DBIL,TP,ALB,BUN,CR,UA,GLU,TC,TG,K,Na,Cl,Ca",244
INS-022,BC-6800-22,迈瑞,BC-6800,SN234756,检验科,检验科C区,online,2024-09-29,2024-11-12,"ALT,AST,TBIL,DBIL,TP,ALB,BUN,CR,UA,GLU,TC,TG,K,Na,Cl,Ca",126
INS-023,XN-9000-23,希森美康,XN-9000,SN446796,检验科,检验科C区,online,2024-01-22,2024-03-30,"ALT,AST,TBIL,DBIL,TP,ALB,BUN,CR,UA,GLU,TC,TG,K,Na,Cl,Ca",620
INS-024,XN-3000-24,希森美康,XN-3000,SN922680,检验科,门诊检验,online,2024-05-30,2024-07-07,"ALT,AST,TBIL,DBIL,TP,ALB,BUN,CR,UA,GLU,TC,TG,K,Na,Cl,Ca",807
INS-025,AU5800-25,贝克曼,AU5800,SN510872,检验科,检验科C区,online,2024-07-27,2024-09-25,"ALT,AST,TBIL,DBIL,TP,ALB,BUN,CR,UA,GLU,TC,TG,K,Na,Cl,Ca",355
INS-026,AU5812-26,贝克曼,AU5812,SN319613,检验科,检验科A区,online,2024-04-27,2024-07-11,"ALT,AST,TBIL,DBIL,TP,ALB,BUN,CR,UA,GLU,TC,TG,K,Na,Cl,Ca",465
INS-027,Cobas8000-27,罗氏,Cobas8000,SN290186,检验科,检验科A区,offline,2024-07-31,2024-10-21,"ALT,AST,TBIL,DBIL,TP,ALB,BUN,CR,UA,GLU,TC,TG,K,Na,Cl,Ca",747
INS-028,Cobas6000-28,罗氏,Cobas6000,SN186831,检验科,检验科C区,online,2024-08-26,2024-10-12,"ALT,AST,TBIL,DBIL,TP,ALB,BUN,CR,UA,GLU,TC,TG,K,Na,Cl,Ca",440
INS-029,Vitros5600-29,强生,Vitros5600,SN555138,检验科,检验科B区,online,2024-07-07,2024-08-12,"ALT,AST,TBIL,DBIL,TP,ALB,BUN,CR,UA,GLU,TC,TG,K,Na,Cl,Ca",579
INS-030,ADVIA2400-30,西门子,ADVIA2400,SN929093,检验科,检验科B区,online,2024-08-27,2024-11-23,"ALT,AST,TBIL,DBIL,TP,ALB,BUN,CR,UA,GLU,TC,TG,K,Na,Cl,Ca",514
INS-031,BC-6800Plus-31,迈瑞,BC-6800Plus,SN899291,检验科,急诊检验,online,2024-03-04,2024-05-16,"ALT,AST,TBIL,DBIL,TP,ALB,BUN,CR,UA,GLU,TC,TG,K,Na,Cl,Ca",982
INS-032,BC-6800-32,迈瑞,BC-6800,SN968468,检验科,急诊检验,online,2024-05-22,2024-07-27,"ALT,AST,TBIL,DBIL,TP,ALB,BUN,CR,UA,GLU,TC,TG,K,Na,Cl,Ca",998
INS-033,XN-9000-33,希森美康,XN-9000,SN364429,检验科,门诊检验,online,2024-06-07,2024-08-01,"ALT,AST,TBIL,DBIL,TP,ALB,BUN,CR,UA,GLU,TC,TG,K,Na,Cl,Ca",831
INS-034,XN-3000-34,希森美康,XN-3000,SN159058,检验科,急诊检验,online,2024-09-14,2024-10-25,"ALT,AST,TBIL,DBIL,TP,ALB,BUN,CR,UA,GLU,TC,TG,K,Na,Cl,Ca",700
INS-035,AU5800-35,贝克曼,AU5800,SN842274,检验科,检验科B区,maintenance,2024-06-18,2024-09-02,"ALT,AST,TBIL,DBIL,TP,ALB,BUN,CR,UA,GLU,TC,TG,K,Na,Cl,Ca",610
INS-036,AU5812-36,贝克曼,AU5812,SN119591,检验科,检验科C区,online,2024-06-22,2024-08-21,"ALT,AST,TBIL,DBIL,TP,ALB,BUN,CR,UA,GLU,TC,TG,K,Na,Cl,Ca",895
INS-037,Cobas8000-37,罗氏,Cobas8000,SN658235,检验科,检验科B区,offline,2024-07-15,2024-08-31,"ALT,AST,TBIL,DBIL,TP,ALB,BUN,CR,UA,GLU,TC,TG,K,Na,Cl,Ca",786
INS-038,Cobas6000-38,罗氏,Cobas6000,SN433488,检验科,检验科B区,online,2024-08-24,2024-09-28,"ALT,AST,TBIL,DBIL,TP,ALB,BUN,CR,UA,GLU,TC,TG,K,Na,Cl,Ca",297
INS-039,Vitros5600-39,强生,Vitros5600,SN299494,检验科,检验科A区,online,2024-09-06,2024-11-01,"ALT,AST,TBIL,DBIL,TP,ALB,BUN,CR,UA,GLU,TC,TG,K,Na,Cl,Ca",384
INS-040,ADVIA2400-40,西门子,ADVIA2400,SN852414,检验科,急诊检验,online,2024-09-15,2024-10-21,"ALT,AST,TBIL,DBIL,TP,ALB,BUN,CR,UA,GLU,TC,TG,K,Na,Cl,Ca",331
INS-041,BC-6800Plus-41,迈瑞,BC-6800Plus,SN252869,检验科,检验科A区,online,2024-02-22,2024-05-12,"ALT,AST,TBIL,DBIL,TP,ALB,BUN,CR,UA,GLU,TC,TG,K,Na,Cl,Ca",284
INS-042,BC-6800-42,迈瑞,BC-6800,SN466195,检验科,门诊检验,online,2024-08-23,2024-10-01,"ALT,AST,TBIL,DBIL,TP,ALB,BUN,CR,UA,GLU,TC,TG,K,Na,Cl,Ca",565
INS-043,XN-9000-43,希森美康,XN-9000,SN797114,检验科,急诊检验,online,2024-04-24,2024-06-11,"ALT,AST,TBIL,DBIL,TP,ALB,BUN,CR,UA,GLU,TC,TG,K,Na,Cl,Ca",295
INS-044,XN-3000-44,希森美康,XN-3000,SN936876,检验科,门诊检验,online,2024-02-23,2024-04-23,"ALT,AST,TBIL,DBIL,TP,ALB,BUN,CR,UA,GLU,TC,TG,K,Na,Cl,Ca",813
INS-045,AU5800-45,贝克曼,AU5800,SN545755,检验科,检验科C区,online,2024-02-11,2024-05-03,"ALT,AST,TBIL,DBIL,TP,ALB,BUN,CR,UA,GLU,TC,TG,K,Na,Cl,Ca",848
INS-046,AU5812-46,贝克曼,AU5812,SN494526,检验科,检验科A区,online,2024-06-22,2024-09-07,"ALT,AST,TBIL,DBIL,TP,ALB,BUN,CR,UA,GLU,TC,TG,K,Na,Cl,Ca",721
INS-047,Cobas8000-47,罗氏,Cobas8000,SN591009,检验科,检验科C区,online,2024-02-25,2024-04-16,"ALT,AST,TBIL,DBIL,TP,ALB,BUN,CR,UA,GLU,TC,TG,K,Na,Cl,Ca",207
INS-048,Cobas6000-48,罗氏,Cobas6000,SN744433,检验科,急诊检验,online,2024-07-10,2024-09-07,"ALT,AST,TBIL,DBIL,TP,ALB,BUN,CR,UA,GLU,TC,TG,K,Na,Cl,Ca",367
INS-049,Vitros5600-49,强生,Vitros5600,SN292491,检验科,检验科B区,online,2024-03-18,2024-05-22,"ALT,AST,TBIL,DBIL,TP,ALB,BUN,CR,UA,GLU,TC,TG,K,Na,Cl,Ca",816
INS-050,ADVIA2400-50,西门子,ADVIA2400,SN162663,检验科,门诊检验,online,2024-10-07,2024-11-16,"ALT,AST,TBIL,DBIL,TP,ALB,BUN,CR,UA,GLU,TC,TG,K,Na,Cl,Ca",614
